OBJECTID,CSA2010,bahigher11,bahigher12,bahigher13,bahigher14,bahigher15,bahigher16,bahigher17,bahigher18,bahigher19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,11.8139864153831,10.9764717762294,11.7282066931136,11.56,10.9558681826942,9.93679122513478,9.9214846538187,9.288876841059,11.62898874,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,22.4893330151533,22.3453152622275,23.85477582846,24.31,24.5974955277281,22.9465731246627,24.6336895450038,24.3658810325476,24.83667493,47882527.7110596,37524.9505334171
3,Belair-Edison,11.2391090461875,14.0128575421597,15.3667379380868,15.34,17.3743289409468,18.6011053935582,16.6530463997094,17.2315121166055,15.77951905,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,6.35388281794932,6.35064640508052,6.09048088509147,5.86,6.56273847160144,6.36301213092241,8.42810966119956,9.01225666906993,9.524370144,176077742.748718,150987.703638772
5,Canton,60.7391275611368,61.1945169712794,63.6573007830493,63.7,67.4311243484736,69.3212799540824,70.1764211705404,71.1903064861012,75.16358068,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,13.793996514105,11.85367114788,12.7131377801006,14.4,16.0027133695116,18.1429827867823,17.9540581929555,18.4898822108124,16.7202381,71541340.3063965,39962.5498347165
7,Cherry Hill,5.07559848803024,7.14881200500208,7.37367165473867,8.06,11.2783644124916,12.0962199312715,10.4343931930138,11.4616870573084,11.48908858,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,34.8252110740232,33.9267853570714,34.4228382292098,32.59,36.734693877551,34.4696314241218,34.1483561870147,31.7190506735086,30.98921707,21022590.1307373,21705.411630344
9,Claremont/Armistead,9.43144817355832,8.68425977915029,11.0435103244838,15.52,15.4194156456173,13.778256189451,13.3129716133668,13.088384693532,9.176394293,61243774.4211426,40104.415980189
10,Clifton-Berea,7.83614654890416,8.37055417700579,7.20705997712044,6.59,7.6696675900277,8.58324715615305,10.3792088917947,12.0754716981132,12.97814208,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,50.0624421502314,52.1665456305979,55.3129548762737,55.72,55.1990898748578,54.353782013103,53.0698573845782,49.8437319134159,50.05828865,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,15.7,20.7103123662816,20.0869565217391,24.26,25.2320675105485,27.5441547518923,25.6597645148193,26.184355490268,25.39325843,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,21.7157768733541,18.1862035697057,16.6785629312396,15.54,13.6688841471068,16.2091011658518,19.3308550185873,17.2031344183242,17.14024877,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,62.8667299477931,65.2542372881356,63.7626559924653,63.98,63.1435079726651,66.8952618453865,68.2055399437976,70.6899941026145,68.84278304,20736554.4064941,21565.859394559
15,Edmondson Village,9.33270746018441,9.23629829290207,8.49744711889132,8.04,8.30407303370787,11.5113256591162,12.7957772115034,14.6151053013798,15.06581288,23563061.0443115,21504.551357829
16,Fells Point,60.5673865797338,63.6219849742981,63.3875646361458,65.37,68.2029385909833,72.2322580645161,73.3672172808132,74.4968991266928,76.98168694,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,20.3460245837872,19.9421500883818,17.580059425553,18.31,18.146049732452,20.7208565827175,19.6892655367231,19.6318228630278,20.46697799,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,28.0432989690722,25.5006430277421,25.210298241142,24.78,25.2251486830926,27.4429386590585,28.6400147724125,28.8284910965323,29.04114796,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,47.170305242203,46.2243050378102,43.7776304155615,46.88,51.2357026143791,51.417711115677,53.1138880422635,53.3872399171679,55.48738248,27051213.4559937,26454.2692113332
20,Greater Govans,13.642142553493,14.2492917847026,16.2922945692351,17.43,15.9647125782584,17.5786119961213,18.1555799890049,18.7145557655954,18.32541236,22698495.7178955,22982.125714974
21,Greater Mondawmin,15.5611712869469,14.4290404961693,14.5783948526922,13.73,14.1825683341929,14.9877949552482,15.8565601631543,18.2350150245136,18.63776088,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,76.5811405985319,75.4334732615441,79.1856026177059,79,80.424660085677,81.798205456876,81.9405496354458,81.8024928092042,82.42669753,56688145.1790161,39862.7497953118
23,Greater Rosemont,7.54914213473,7.77244315608298,7.86290322580645,9.84,9.43157484913374,9.76188303986862,9.62431035992643,8.93116096562313,6.292487363,42204384.5406494,32559.0762211491
24,Greenmount East,5.36846997583194,4.48454529212078,5.70494186046512,6.08,8.23320858774867,8.5375191424196,11.225909000596,12.3855890944498,12.30799527,19072287.8240967,20797.4734578598
25,Hamilton,26.755292526209,26.3711846567653,27.3370619792261,24.75,28.9222672952527,29.8566703417861,31.0473948860597,32.3824041811846,33.5628033,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,35.4525909237206,34.0760157273919,31.4926660914582,34.83,34.251968503937,37.9354182557844,38.2382382382382,42.7538247566064,40.52173913,10215859.0836182,18552.4075815937
27,Harford/Echodale,23.9429233324591,22.3377777777778,23.5244519392917,25.14,25.503065895155,25.9205092911218,27.0245139475908,26.6398929049531,28.03699727,65360039.1698608,40019.1854001996
28,Highlandtown,33.6884732052578,36.3525091799266,38.6333771353482,41.74,47.420814479638,51.8968959883827,53.8552387379787,58.2127229888926,62.41824585,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,14.497333853557,15.5079544031066,15.5731707317073,16.08,19.4579137137884,23.773173391494,23.4760353652861,27.109602327837,28.63095968,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,65.4242002927033,66.4189119438423,66.1060293105144,67.27,67.0148120015192,69.1337567891006,70.4403095062638,71.2593575286648,74.3587271,24995836.2615967,43415.0595478862
31,Lauraville,35.0934412569932,35.1160325126634,35.7372900851162,34.73,34.1340782122905,32.8025845159802,31.6827195467422,32.1809744779582,34.78010592,49665744.2354736,34419.676527973
32,Loch Raven,23.1955194092406,25.6484149855908,22.4569416690456,22.2,22.1551648736115,19.597675458203,19.325126969097,22.5598279107286,26.24810217,44147812.3265381,29314.3346718286
33,Madison/East End,2.86427127779025,3.81411661551951,5.19119351100811,6.07,6.33225726347157,7.28765717218373,8.97502601456815,8.60446356547459,7.699757869,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,47.1283413606261,48.5945904992803,50.0708373723063,51.42,52.3659537064166,54.7679074595877,55.7606136553505,58.1451969898185,58.49502029,62441489.2398071,43152.625699222
35,Midtown,57.1650155649149,56.4896489648965,58.21722043587,62,60.5620568890407,60.4006785685435,62.7098919368246,63.2409793814432,60.91820089,23823949.9294434,25020.0969698082
36,Midway/Coldstream,4.24116745825035,4.75899005355777,5.79962073324905,7.12,8.20374484290701,9.11255754881727,9.5482068001863,9.49216896060749,10.794193,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,8.93795803319762,9.89697158913519,11.8590252421019,10.95,9.72808647187975,11.0508474576271,12.7871621621621,11.7647058823529,13.30707313,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,68.8783444387494,68.8134753529849,69.4675750693919,70.48,68.3015914427342,69.604944907283,70.3512115436972,70.6330443919096,68.87924432,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,74.2136629667003,72.4443569036833,73.5841623165567,75.9,74.4856758315709,73.5583819451085,73.6526384853313,75.7395313100268,75.86740118,74923987.6937256,42904.2221443544
40,Northwood,26.3931878501917,24.7603044380745,24.0310840055086,24.8,24.2743518231588,25.233548916949,27.2583044124938,27.1708410486307,26.45315488,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,11.6466473298072,12.6679136201326,12.374934175882,15.3,14.9930507296734,17.5983071768648,19.5242814667988,21.0571330824495,20.75769534,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,13.3163821503444,13.6609745939192,11.5818392134182,10.38,16.6523850328478,17.3596673596674,19.2661811185928,21.9707424786088,27.59109599,89894372.2113037,47825.8629266244
43,Patterson Park North & East,28.2302789699571,30.5529715762274,34.1695587506197,39.83,41.6883637091929,43.5892495905982,47.21997573797,47.8310980720871,48.22075431,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,18.1816118220597,19.9373040752351,22.1460506706408,24.23,27.3206901468701,25.5890332714551,27.6145383651302,26.5455610899501,25.57178693,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,8.27891068662881,8.12914752424707,7.4110550289302,6.83,8.56115107913669,9.32224428997021,10.1253005948614,11.0190664036817,13.44855523,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,17.5206518231688,16.461038961039,16.4099339830242,16.72,18.5640362225097,17.4738841405508,18.6241610738255,20.6698564593301,19.69111969,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,5.5402094469292,5.64457769047865,5.46474990153604,6.13,5.47066014669927,5.82114156192046,5.61797752808988,6.41917059846039,6.799791177,23672092.8682861,20987.1433066354
48,South Baltimore,51.7890791396951,55.5664445315563,57.9660404624277,60.11,63.4067246970473,69.5247427731504,70.5482855723041,73.5189954925949,76.02131439,46353935.4255981,68440.0258266401
49,Southeastern,7.78706713780919,9.62278675904542,11.1164930976023,12.21,12.4832214765101,15.4958080370049,13.4067705534658,14.1536836546078,10.41137633,111251478.472229,102291.480547698
50,Southern Park Heights,7.54623804585782,8.99791002089979,9.47066326530612,9.23,9.23092933707982,9.48203842940685,9.1532712194123,9.65788355291117,12.89311575,27876227.5908203,24052.221372193
51,Southwest Baltimore,9.60322791305159,9.55450236966825,9.51483282071634,9.89,8.57785778577858,8.0398850161696,8.67822520507084,9.19850885368126,8.731401723,37766068.8365479,28355.563581391
52,The Waverlies,22.8133455210238,21.4259327669006,23.534989569505,24.09,22.7456494990332,23.120985939941,25.0807685767726,26.5255731922398,28.55345912,20383750.5437012,18733.826879757
53,Upton/Druid Heights,9.11691362486447,9.91177996886352,11.2461485792537,13.54,16.1335676625659,15.3872456830227,16.8802698145025,15.5745144309312,14.01508507,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,32.5137297297297,32.5181402848697,33.9324618736383,32.32,34.691659875034,32.5394701632325,29.818822345244,32.5840092699884,37.35567127,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,9.70682685829778,8.85733603786342,8.22434050099756,7.44,8.61873440689499,11.3805970149254,11.0295915871851,13.4644864588656,17.49255348,45494092.9501953,42573.1244161851
